"Q3.5","Q3.6","Q5.1","Q5.2","Q5.3","Q5.4","Q3.1","region"
7.61904761904762,7.45,2.23809523809524,3.76190476190476,6.94736842105263,5.78947368421053,1.62068965517241,"Europe & Central Asia"
2.88235294117647,3.72727272727273,3.76923076923077,2.33333333333333,6.83333333333333,1.36363636363636,6.625,"Europe & Central Asia"
4.16666666666667,4.35294117647059,3.1578947368421,4.06666666666667,3.8421052631579,3.1578947368421,3.20689655172414,"Europe & Central Asia"
9.48275862068965,9.62068965517241,1.95833333333333,1.29166666666667,9.48,7.23809523809524,4.26315789473684,"Europe & Central Asia"
2.57692307692308,2.59090909090909,5.42857142857143,5.4375,3.35,1.33333333333333,7.1764705882353,"Europe & Central Asia"
2.59259259259259,2.86363636363636,7.1875,7,3.26086956521739,1.28,7.92592592592593,"Europe & Central Asia"
2.30769230769231,2.3,4.5,2.54545454545455,2.4,1.69230769230769,2.63636363636364,"Europe & Central Asia"
9.46666666666667,9.76923076923077,1.66666666666667,2.16666666666667,9.21428571428571,7,6.875,"Europe & Central Asia"
2.61538461538462,2.90909090909091,4.85714285714286,7,2.30769230769231,2.25,6.90909090909091,"Europe & Central Asia"
6,5.18181818181818,3.2,4.75,2.46153846153846,2.27272727272727,6.41666666666667,"Europe & Central Asia"
3.375,3.875,5.85714285714286,5.75,2.63636363636364,1.76923076923077,8,"Europe & Central Asia"
2.57142857142857,2.81818181818182,2.6,3.2,2.30769230769231,2.16666666666667,3.42857142857143,"Europe & Central Asia"
5.66666666666667,5.18181818181818,2.66666666666667,2.41666666666667,4.22222222222222,2.33333333333333,1.57894736842105,"Europe & Central Asia"
10,10,0,0,NA,0,0,"Middle East & North Africa"
4,NA,0,NA,NA,NA,0,"Middle East & North Africa"
0,NA,0,NA,1,10,0,"Middle East & North Africa"
3.83333333333333,4.66666666666667,4.66666666666667,3.83333333333333,2.85714285714286,1.75,3.2,"Europe & Central Asia"
3,4,6,5.75,2.16666666666667,3.5,9,"Europe & Central Asia"
4.44444444444444,5,4,6,2.42857142857143,6,7.14285714285714,"Europe & Central Asia"
8.66666666666667,8.44444444444444,1.625,2.83333333333333,3.16666666666667,3.8,4,"Europe & Central Asia"
4.66666666666667,5,3.33333333333333,5,2.42857142857143,6.33333333333333,7,"Europe & Central Asia"
5.57142857142857,5.625,6.6,4.8,2,3.25,8.7,"Europe & Central Asia"
1.9,3.875,6.83333333333333,7,2.57142857142857,4.5,6,"Europe & Central Asia"
5.44444444444444,4.88888888888889,3.66666666666667,6,2.42857142857143,5.66666666666667,3.33333333333333,"Europe & Central Asia"
2.5,4,4,5.5,2.42857142857143,4,2.33333333333333,"Europe & Central Asia"
5.22222222222222,4.75,4.66666666666667,4,2.5,1.5,1.25,"Europe & Central Asia"
8.33333333333333,8.33333333333333,6.5,10,1.66666666666667,8.5,NA,"Latin America & Caribbean"
8.5,9,2,10,2.33333333333333,8.5,NA,"Latin America & Caribbean"
8.66666666666667,8.66666666666667,6.5,7,1.33333333333333,9.25,6,"Latin America & Caribbean"
6,7,2.5,3,4.75,5,3.5,"Latin America & Caribbean"
7.25,8.5,8.5,9.5,2,8.75,7.66666666666667,"Latin America & Caribbean"
4,4,7,5,7,5,7,"Middle East & North Africa"
